Iter 1 Batch 218/3140: Error = 307.529236 ; Learning Rate = 0.001000	
Iter 1 Batch 219/3140: Error = 307.283783 ; Learning Rate = 0.001000	
Iter 1 Batch 220/3140: Error = 305.065674 ; Learning Rate = 0.001000	
Iter 1 Batch 221/3140: Error = 305.852905 ; Learning Rate = 0.001000	
Iter 1 Batch 222/3140: Error = 304.374634 ; Learning Rate = 0.001000	
Iter 1 Batch 223/3140: Error = 303.782776 ; Learning Rate = 0.001000	
Iter 1 Batch 224/3140: Error = 304.250580 ; Learning Rate = 0.001000	
Iter 1 Batch 225/3140: Error = 304.512756 ; Learning Rate = 0.001000	
Iter 1 Batch 226/3140: Error = 303.652283 ; Learning Rate = 0.001000	
Iter 1 Batch 227/3140: Error = 302.724243 ; Learning Rate = 0.001000	
Iter 1 Batch 228/3140: Error = 302.325409 ; Learning Rate = 0.001000	
Iter 1 Batch 229/3140: Error = 301.502563 ; Learning Rate = 0.001000	
Iter 1 Batch 230/3140: Error = 301.482635 ; Learning Rate = 0.001000	
Iter 1 Batch 231/3140: Error = 301.472534 ; Learning Rate = 0.001000	
Iter 1 Batch 232/3140: Error = 301.080475 ; Learning Rate = 0.001000	
Iter 1 Batch 233/3140: Error = 299.881042 ; Learning Rate = 0.001000	
Iter 1 Batch 234/3140: Error = 299.428894 ; Learning Rate = 0.001000	
Iter 1 Batch 235/3140: Error = 299.404449 ; Learning Rate = 0.001000	
Iter 1 Batch 236/3140: Error = 298.029572 ; Learning Rate = 0.001000	
Iter 1 Batch 237/3140: Error = 297.258514 ; Learning Rate = 0.001000	
Iter 1 Batch 238/3140: Error = 296.599976 ; Learning Rate = 0.001000	
Iter 1 Batch 239/3140: Error = 296.779510 ; Learning Rate = 0.001000	
Iter 1 Batch 240/3140: Error = 296.468750 ; Learning Rate = 0.001000	
Iter 1 Batch 241/3140: Error = 296.388855 ; Learning Rate = 0.001000	
Iter 1 Batch 242/3140: Error = 295.537903 ; Learning Rate = 0.001000	
Iter 1 Batch 243/3140: Error = 295.142487 ; Learning Rate = 0.001000	
Iter 1 Batch 244/3140: Error = 293.787598 ; Learning Rate = 0.001000	
Iter 1 Batch 245/3140: Error = 292.999115 ; Learning Rate = 0.001000	
Iter 1 Batch 246/3140: Error = 293.284637 ; Learning Rate = 0.001000	
Iter 1 Batch 247/3140: Error = 293.070740 ; Learning Rate = 0.001000	
Iter 1 Batch 248/3140: Error = 292.137207 ; Learning Rate = 0.001000	
Iter 1 Batch 249/3140: Error = 291.648621 ; Learning Rate = 0.001000	
Iter 1 Batch 250/3140: Error = 291.195679 ; Learning Rate = 0.001000	
Iter 1 Batch 251/3140: Error = 290.755341 ; Learning Rate = 0.001000	
Iter 1 Batch 252/3140: Error = 288.962097 ; Learning Rate = 0.001000	
